Alter ,Kategorie,Geschlecht,2010,2011,2012,2013,2014,2015,2016
A1,PKW,m ,5.056,4.960,4.671,4.687,4.861,5.032,5.315
A1,PKW,w,2.251,2.369,2.271,2.134,2.413,2.503,2.757
A1,Fahrrad,m ,807,931,845,792,878,951,1.006
A1,Fahrrad,w,498,542,522,475,563,568,656
A1,Fußgänger,m ,128,141,122,117,110,120,136
A1,Fußgänger,w,132,118,108,100,90,109,135
A2,PKW,m ,5.528,6.139,5.950,5.654,5.641,5.420,5.057
A2,PKW,w,2.268,2.804,2.811,2.659,2.740,2.736,2.548
A2,Fahrrad,m ,869,1.098,1.046,991,1.020,957,910
A2,Fahrrad,w,526,699,704,680,775,700,578
A2,Fußgänger,m ,172,166,159,140,131,125,117
A2,Fußgänger,w,152,176,158,149,147,136,131
A3,PKW,m ,7.639,8.801,8.896,9.334,10.203,11.236,11.833
A3,PKW,w,2.562,3.218,3.299,3.522,4.083,4.477,4.960
A3,Fahrrad,m ,1.044,1.289,1.358,1.418,1.726,1.867,2.134
A3,Fahrrad,w,729,847,871,927,1.067,1.116,1.172
A3,Fußgänger,m ,220,245,289,250,280,299,316
A3,Fußgänger,w,306,341,339,363,338,378,393
,,,30.887,34.884,34.419,34.392,37.066,38.730,40.154
